NpcType|ItemID|ItemName|IfAvailable|ItemNum|SellPrice|BuyPrice
int|int|string|int|int|int|int
1|1|乌木剑|1|5|10|2
1|2|铁剑|1|5|20|4
1|3|精钢剑|1|5|50|10
1|4|玄铁剑|0|0|0|15
1|5|斩帝剑|0|0|0|20
1|6|乌木刀|1|5|12|3
1|7|笔刀|1|5|22|5
1|8|眉尖刀|1|5|55|11
1|9|凤嘴刀|0|0|0|16
1|10|斩岳刀|0|0|0|22
1|11|木锤|1|5|15|3
1|12|镔铁锤|1|5|40|8
1|13|亮银锤|1|5|75|15
1|14|八棱梅花锤|0|0|0|18
1|15|擂鼓瓮金锤|0|0|0|25
1|16|粗布甲|1|5|5|1
1|17|打行衫|1|5|25|5
1|18|夜行衣|0|0|0|8
1|19|凌波服|0|0|0|10
1|20|旧革衣|1|5|10|2
1|21|兽皮衣|1|5|50|10
1|22|硬革甲|0|0|0|15
1|23|软猬甲|0|0|0|22
1|24|棉甲|1|5|30|6
1|25|轻锁甲|1|5|100|20
1|26|环锁甲|0|0|0|30
1|27|山文甲|0|0|0|40
1|28|鱼鳞扎甲|1|5|180|18
1|29|明光铠|1|5|350|35
1|30|黑金柳叶扎甲|0|0|0|45
1|31|铁浮图甲|0|0|0|55
1|32|跌打散|0|0|0|1
1|33|止血丸|0|0|0|1
1|34|金疮药|0|0|0|2
1|35|九转丹|0|0|0|2
1|36|生肌膏|0|0|0|1
1|37|壮骨散|0|0|0|1
1|38|人参汤|0|0|0|2
1|39|蜕骨金丹|0|0|0|2
1|40|樟木|0|0|0|1
1|41|柏木|0|0|0|1
1|42|杨木|0|0|0|1
1|43|桦木|0|0|0|1
1|44|铜矿|0|0|0|1
1|45|铁矿|0|0|0|1
1|46|黑铁矿|0|0|0|1
1|47|金刚石|0|0|0|1
1|48|张三的信|0|0|0|1
2|1|乌木剑|1|5|10|2
2|2|铁剑|1|5|20|4
2|3|精钢剑|1|5|50|10
2|4|玄铁剑|1|1|100|15
2|5|斩帝剑|0|0|0|20
2|6|乌木刀|1|5|12|3
2|7|笔刀|1|5|22|5
2|8|眉尖刀|1|5|55|11
2|9|凤嘴刀|1|1|110|16
2|10|斩岳刀|0|0|0|22
2|11|木锤|1|5|15|3
2|12|镔铁锤|1|5|40|8
2|13|亮银锤|1|5|75|15
2|14|八棱梅花锤|1|1|120|18
2|15|擂鼓瓮金锤|0|0|0|25
2|16|粗布甲|1|5|5|1
2|17|打行衫|1|5|25|5
2|18|夜行衣|1|1|80|8
2|19|凌波服|0|0|0|10
2|20|旧革衣|1|5|10|2
2|21|兽皮衣|1|5|50|10
2|22|硬革甲|1|1|100|15
2|23|软猬甲|0|0|0|22
2|24|棉甲|1|5|30|6
2|25|轻锁甲|1|5|100|20
2|26|环锁甲|1|1|200|30
2|27|山文甲|0|0|0|40
2|28|鱼鳞扎甲|1|5|180|18
2|29|明光铠|1|5|350|35
2|30|黑金柳叶扎甲|1|1|500|45
2|31|铁浮图甲|0|0|0|55
2|32|跌打散|0|0|0|1
2|33|止血丸|0|0|0|1
2|34|金疮药|0|0|0|2
2|35|九转丹|0|0|0|2
2|36|生肌膏|0|0|0|1
2|37|壮骨散|0|0|0|1
2|38|人参汤|0|0|0|2
2|39|蜕骨金丹|0|0|0|2
2|40|樟木|0|0|0|1
2|41|柏木|0|0|0|1
2|42|杨木|0|0|0|1
2|43|桦木|0|0|0|1
2|44|铜矿|0|0|0|1
2|45|铁矿|0|0|0|1
2|46|黑铁矿|0|0|0|1
2|47|金刚石|0|0|0|1
2|48|张三的信|0|0|0|1
3|1|乌木剑|0|0|0|2
3|2|铁剑|0|0|0|2
3|3|精钢剑|0|0|0|2
3|4|玄铁剑|0|0|0|2
3|5|斩帝剑|0|0|0|2
3|6|乌木刀|0|0|0|2
3|7|笔刀|0|0|0|2
3|8|眉尖刀|0|0|0|2
3|9|凤嘴刀|0|0|0|2
3|10|斩岳刀|0|0|0|2
3|11|木锤|0|0|0|2
3|12|镔铁锤|0|0|0|2
3|13|亮银锤|0|0|0|2
3|14|八棱梅花锤|0|0|0|2
3|15|擂鼓瓮金锤|0|0|0|2
3|16|粗布甲|0|0|0|2
3|17|打行衫|0|0|0|2
3|18|夜行衣|0|0|0|2
3|19|凌波服|0|0|0|2
3|20|旧革衣|0|0|0|2
3|21|兽皮衣|0|0|0|2
3|22|硬革甲|0|0|0|2
3|23|软猬甲|0|0|0|2
3|24|棉甲|0|0|0|2
3|25|轻锁甲|0|0|0|2
3|26|环锁甲|0|0|0|2
3|27|山文甲|0|0|0|2
3|28|鱼鳞扎甲|0|0|0|2
3|29|明光铠|0|0|0|2
3|30|黑金柳叶扎甲|0|0|0|2
3|31|铁浮图甲|0|0|0|2
3|32|跌打散|1|99|2|1
3|33|止血丸|1|99|5|1
3|34|金疮药|1|99|10|2
3|35|九转丹|1|5|20|2
3|36|生肌膏|1|99|10|1
3|37|壮骨散|1|99|20|1
3|38|人参汤|1|99|40|2
3|39|蜕骨金丹|1|5|80|2
3|40|樟木|0|0|0|1
3|41|柏木|0|0|0|1
3|42|杨木|0|0|0|1
3|43|桦木|0|0|0|1
3|44|铜矿|0|0|0|1
3|45|铁矿|0|0|0|1
3|46|黑铁矿|0|0|0|1
3|47|金刚石|0|0|0|1
3|48|张三的信|0|0|0|1
4|1|乌木剑|0|0|0|2
4|2|铁剑|0|0|0|2
4|3|精钢剑|0|0|0|2
4|4|玄铁剑|0|0|0|2
4|5|斩帝剑|0|0|0|2
4|6|乌木刀|0|0|0|2
4|7|笔刀|0|0|0|2
4|8|眉尖刀|0|0|0|2
4|9|凤嘴刀|0|0|0|2
4|10|斩岳刀|0|0|0|2
4|11|木锤|0|0|0|2
4|12|镔铁锤|0|0|0|2
4|13|亮银锤|0|0|0|2
4|14|八棱梅花锤|0|0|0|2
4|15|擂鼓瓮金锤|0|0|0|2
4|16|粗布甲|0|0|0|2
4|17|打行衫|0|0|0|2
4|18|夜行衣|0|0|0|2
4|19|凌波服|0|0|0|2
4|20|旧革衣|0|0|0|2
4|21|兽皮衣|0|0|0|2
4|22|硬革甲|0|0|0|2
4|23|软猬甲|0|0|0|2
4|24|棉甲|0|0|0|2
4|25|轻锁甲|0|0|0|2
4|26|环锁甲|0|0|0|2
4|27|山文甲|0|0|0|2
4|28|鱼鳞扎甲|0|0|0|2
4|29|明光铠|0|0|0|2
4|30|黑金柳叶扎甲|0|0|0|2
4|31|铁浮图甲|0|0|0|2
4|32|跌打散|1|99|10|1
4|33|止血丸|1|99|20|1
4|34|金疮药|1|99|40|2
4|35|九转丹|1|5|80|2
4|36|生肌膏|1|99|3|1
4|37|壮骨散|1|99|7|1
4|38|人参汤|1|99|11|2
4|39|蜕骨金丹|1|5|25|2
4|40|樟木|0|0|0|1
4|41|柏木|0|0|0|1
4|42|杨木|0|0|0|1
4|43|桦木|0|0|0|1
4|44|铜矿|0|0|0|1
4|45|铁矿|0|0|0|1
4|46|黑铁矿|0|0|0|1
4|47|金刚石|0|0|0|1
4|48|张三的信|0|0|0|1
5|1|乌木剑|0|0|0|2
5|2|铁剑|0|0|0|2
5|3|精钢剑|0|0|0|2
5|4|玄铁剑|0|0|0|2
5|5|斩帝剑|0|0|0|2
5|6|乌木刀|0|0|0|2
5|7|笔刀|0|0|0|2
5|8|眉尖刀|0|0|0|2
5|9|凤嘴刀|0|0|0|2
5|10|斩岳刀|0|0|0|2
5|11|木锤|0|0|0|2
5|12|镔铁锤|0|0|0|2
5|13|亮银锤|0|0|0|2
5|14|八棱梅花锤|0|0|0|2
5|15|擂鼓瓮金锤|0|0|0|2
5|16|粗布甲|0|0|0|2
5|17|打行衫|0|0|0|2
5|18|夜行衣|0|0|0|2
5|19|凌波服|0|0|0|2
5|20|旧革衣|0|0|0|2
5|21|兽皮衣|0|0|0|2
5|22|硬革甲|0|0|0|2
5|23|软猬甲|0|0|0|2
5|24|棉甲|0|0|0|2
5|25|轻锁甲|0|0|0|2
5|26|环锁甲|0|0|0|2
5|27|山文甲|0|0|0|2
5|28|鱼鳞扎甲|0|0|0|2
5|29|明光铠|0|0|0|2
5|30|黑金柳叶扎甲|0|0|0|2
5|31|铁浮图甲|0|0|0|2
5|32|跌打散|1|2|20|1
5|33|止血丸|1|2|40|1
5|34|金疮药|1|2|60|2
5|35|九转丹|1|2|80|2
5|36|生肌膏|1|2|20|1
5|37|壮骨散|1|2|40|1
5|38|人参汤|1|2|60|2
5|39|蜕骨金丹|1|2|80|2
5|40|樟木|1|5|10|2
5|41|柏木|1|5|20|4
5|42|杨木|1|5|30|8
5|43|桦木|1|5|50|10
5|44|铜矿|1|5|25|5
5|45|铁矿|1|5|50|10
5|46|黑铁矿|1|5|75|15
5|47|金刚石|1|5|100|20
5|48|张三的信|0|0|0|1
6|1|乌木剑|0|0|0|2
6|2|铁剑|0|0|0|2
6|3|精钢剑|0|0|0|2
6|4|玄铁剑|0|0|0|2
6|5|斩帝剑|0|0|0|2
6|6|乌木刀|0|0|0|2
6|7|笔刀|0|0|0|2
6|8|眉尖刀|0|0|0|2
6|9|凤嘴刀|0|0|0|2
6|10|斩岳刀|0|0|0|2
6|11|木锤|0|0|0|2
6|12|镔铁锤|0|0|0|2
6|13|亮银锤|0|0|0|2
6|14|八棱梅花锤|0|0|0|2
6|15|擂鼓瓮金锤|0|0|0|2
6|16|粗布甲|0|0|0|2
6|17|打行衫|0|0|0|2
6|18|夜行衣|0|0|0|2
6|19|凌波服|0|0|0|2
6|20|旧革衣|0|0|0|2
6|21|兽皮衣|0|0|0|2
6|22|硬革甲|0|0|0|2
6|23|软猬甲|0|0|0|2
6|24|棉甲|0|0|0|2
6|25|轻锁甲|0|0|0|2
6|26|环锁甲|0|0|0|2
6|27|山文甲|0|0|0|2
6|28|鱼鳞扎甲|0|0|0|2
6|29|明光铠|0|0|0|2
6|30|黑金柳叶扎甲|0|0|0|2
6|31|铁浮图甲|0|0|0|2
6|32|跌打散|1|2|20|1
6|33|止血丸|1|2|40|1
6|34|金疮药|1|2|60|2
6|35|九转丹|1|2|80|2
6|36|生肌膏|1|2|20|1
6|37|壮骨散|1|2|40|1
6|38|人参汤|1|2|60|2
6|39|蜕骨金丹|1|2|80|2
6|40|樟木|1|5|25|5
6|41|柏木|1|5|50|10
6|42|杨木|1|5|75|15
6|43|桦木|1|5|100|20
6|44|铜矿|1|5|10|2
6|45|铁矿|1|5|20|4
6|46|黑铁矿|1|5|30|8
6|47|金刚石|1|5|50|10
6|48|张三的信|0|0|0|1

